sample_id,text,label
llama-3-8b-instruct-0-8c7bc26209,"Hôm nay tôi đã có một ngày đầy ắp niềm vui. Tôi đi với những người bạn thân và chúng tôi có một bữa ăn tối tuyệt vời. Chúng tôi trò chuyện, cười và có một giờ phút thật vui vẻ. Tôi cảm thấy nhẹ hơn, như thể những phiền hức của mình đã được giải quyết. Tuy nhiên, điều kỳ diệu nhất là tôi cảm thấy mình đã trưởng thành hơn một chút, như thể tôi đã học được một bài học mới. Maybe it's because I've been taking care of myself lately, or maybe it's because I've been surrounding myself with good people, but whatever the reason, I'm grateful for this sense of growth and accomplishment.",
llama-3-8b-instruct-5-f833ba5c97,"Tôi vừa nhận được tin báo từ người thân trong gia đình. Tôi thật sự giật cả mình, không tin nổi vào tai mình. Phải đọc lại đến hai ba lần mới dám chắc là thật. Mẹ tôi gọi đến, nói rằng anh hai của tôi đã qua đời. Tôi cảm thấy như được đánh động, như người khác đã sống lại trong tôi. Rất lâu không có tin về anh, nhưng bây giờ tôi lại ngẫm về những kỷ niệm xưa. Sợ hãi và giật cả vẫn còn trong tôi, nhưng cũng có chút ấm áp trong tim.",
llama-3-8b-instruct-2-c728551fd7,"Tôi cứ không hiểu tại sao người khác lại không chịu lắng nghe mình. Mọi người cứ phả vào suy nghĩ rằng mình là người sai, dù mình đã giải thích nhiều lần rồi. Càng nghĩ càng tức, mình cảm thấy như thể được đẩy đến cùng biên giới. Nhiên, thế là mình cứ ngồi lại, không nói thêm nữa. Mình không cần ai khác nữa.",
qwen3-8b-2-2ac3d9f977,"Hôm nay mình thực sự giận dữ đến mức không còn kiểm soát được. Bị hiểu lầm vì mình không thèm giải thích, cứ như ai đó cố tình nghe sai, hiểu sai để rồi đổ lỗi cho mình. Mình muốn hét lên, muốn quay lưng lại, muốn bỏ đi thật xa, nhưng lại không biết mình có nên làm như vậy hay không. Cả ngày mình chỉ nghĩ đến chuyện đó, cảm giác như có thứ gì đó cào cấu bên trong, đau đớn và cay nghiệt. Mình thật sự mong muốn được lắng nghe, được thấu hiểu, nhưng nếu không có thì mình sẽ phải giữ im lặng, và để mọi thứ lắng xuống theo thời gian.",
qwen3-8b-0-442df78b90,"Hôm nay mình có một khoản tiền nhàn tênh từ cái dự án nhỏ mà mình vừa hoàn thành, nên mình quyết định dành cả buổi chiều để đi mua sắm. Không phải vì cần gì cụ thể, mà chỉ là muốn đi dạo quanh khu phố, chọn một vài món đồ nhỏ xinh xắn để làm mới không gian sống. Mình đi từ chiều đến tối, mua vài cuốn sách, một cái chăn ấm và một cái ly sứ đẹp. Mình cảm thấy thật sự hạnh phúc khi có thể chi tiêu một cách thoải mái, không lo lắng, không phải tính toán từng đồng. Nhìn vào những thứ mình mua, mình thấy mình đang sống thật tốt, và cảm giác đó rất tuyệt.",
qwen3-8b-6-7af371f314,"Hôm nay tôi đã hoàn thành một việc nhỏ mà mình nghĩ rằng mình sẽ không làm được. Tôi không nói là thành công lớn, chỉ là một điều đơn giản, nhưng khi nhìn lại, thấy mình đã cố gắng và vượt qua sự ngại ngần của bản thân. Cảm giác đó khiến tôi nhận ra, đôi khi những điều tưởng chừng nhỏ nhất cũng đủ để làm cho ngày thêm ý nghĩa.",
llama-3-8b-instruct-1-d0615fff7c,"Mình ngồi ở cạnh cửa sổ, ngắm nhìn chiều tối. Cảm giác chán nản, không muốn làm gì. nghĩ lại chuyện lúc sáng, thấy những câu chuyện của mình với anh, những giấc mơ, những niềm tin. Đang tưởng anh sẽ quay lại, sẽ nói với mình, sẽ chia sẻ những điều đó. Nhưng giờ anh không còn là ai, và mình lại phải tiếp tục sống trong những giấc mơ, trong những nấc vọng.

Mình không biết vì sao mình lại buồn thế, vì sao mình lại nhớ anh đến như thế. Dường như mình không thể quên được anh, không thể quên được những giấc mơ của mình với anh. Mình đã nghĩ rằng anh sẽ quay lại, nhưng giờ mình lại phải chấp nhận rằng anh đã đi, và mình không thể làm gì để thay đổi điều đó. Mình chỉ có thể nhớ anh, và sống trong những giấc mơ của mình với anh.",
qwen3-8b-2-d7298d6873,"Buổi sáng nay tôi phải ngồi vào bàn làm việc với một tâm trạng như đang mang trong người một quả bom. Nguyên nhân là vì mình đã giải thích rõ ràng, tỉ mỉ về cái lỗi trong file dữ liệu, nhưng không ai thèm nghe, cứ như thể mình đang nói chuyện với một bức tường vậy. Tôi chả biết nữa, có lẽ vì mình nói chuyện quá nhiều, nên cả phòng toàn lắc đầu như kiểu đang xem một bộ phim hài. Sáng nay tôi chỉ muốn ngồi im một mình, ăn từng miếng bánh mì kẹp thịt, và tự nhủ rằng mình sẽ không bao giờ nói chuyện nhiều như vậy nữa — cho dù trong công việc thì có phải cũng không.",
qwen3-8b-5-065f6f4c35,"Khi vừa mới mở cửa ra, tôi thấy anh ấy đứng đó, tay nắm chặt cửa như đợi lâu rồi. Cái cảm giác đó, như một cái kết thúc chưa kịp nói ra, khiến tim mình đập thình thịch mà không hiểu vì sao.",
qwen3-8b-3-0a27f108a6,"Tối qua, tôi thức đến gần sáng vì lo lắng về buổi thuyết trình ngày mai, sợ mình sẽ nói sai điều gì đó, sợ sự cố ngoài ý muốn xảy ra, khiến mọi thứ trở nên tồi tệ hơn mong đợi.",
qwen3-8b-5-481db69245,"Buổi sáng hôm nay trời mưa tầm tã, cứ như ai đó đang đổ nước lên đầu mình vậy, lạnh lùng và không chút cảm thông. Tôi đang bận rộn chuẩn bị cho ngày học, thì đột nhiên có một tin nhắn đến, khiến tôi ngay lập tức giật mình – không phải vì tin nhắn, mà vì người gửi. Một người quen từ năm xưa, giờ đã lâu không liên lạc, đột ngột xuất hiện trong tin nhắn với nội dung khiến tôi không thể tin vào mắt mình. Cái cảm giác như đang mơ, mà lại không phải là giấc mơ. Tôi lẩm cẩm trong đầu, vừa cười vừa khóc, vì sao lại đến lúc này, cái thời điểm tôi đang cố gắng tập trung để không trễ giờ học. Chắc là trời cũng muốn trêu tôi, khiến tôi phải cười, rồi lại thở dài, vì sự bất ngờ này thật sự là một cú sốc thật sự.",
llama-3-8b-instruct-0-871c9fb3ab,"Tạt về nhà với túi xách gần đầy. Hôm nay chúng tôi và đám bạn thân đi ăn, bỏ ra một chút tiền, nhưng quả thực giá trị. Tựa như không có tiền đâu, chúng tôi còn hơn thế. Nhiều chuyện có thể nói, nhiều cười có thể có. Tự nhiên thấy nhẹ, không còn lo lắng về tiền nữa.",
qwen3-8b-3-4b1f0db064,"Sáng nay đi chợ với mẹ, tôi cố gắng không cười khi bà mua cả thảy 5 kg hành tây, 3 kg cà chua và 2 kg dưa chuột — tất cả đều như thể chúng là một phần của chương trình ""Mua nhiều để giảm giá"". Tôi không biết mình đang đi mua đồ hay tham gia một cuộc thi ""Ai mua nhiều nhất"" cho gia đình.",
qwen3-8b-1-4ff526d7e6,"Mình mua cái áo đó hôm qua mà hôm nay mới thấy mình không cần, tiền cũng đã ra hết rồi, buồn luôn.",
qwen3-8b-4-32f6b55fc3,"Sáng nay trong lúc thực tập, mình bắt gặp một đồng nghiệp vừa ném một mẩu giấy bẩn ra sàn hành lang, không hề để ý đến sự phản cảm của hành vi đó. Cảm giác thật khó chịu, như thể cái sự vô tâm ấy đang chọc vào từng khớp xương trong lòng mình.",
qwen3-8b-0-3af11d0241,"Hôm nay mình có một khoảnh khắc thật sự đáng nhớ, dù có vẻ như là một sự cố ngoài ý muốn. Khi đang lướt mạng xã hội, mình vô tình lướt đến một nhóm bạn cũ, đột nhiên nhớ ra mình từng có một mối quan hệ kỳ cục với họ. Bỗng chốc, mình bị cuốn vào một cơn hoang tưởng, tưởng mình đang trở lại thời điểm ấy, cười đùa với họ như cũ. Cảm giác như mình đã được 'trở lại' một ngày nào đó, dù thực ra đó chỉ là một giấc mộng ngắn ngủi. Thật ra, mình cũng không hiểu vì sao lại thấy vui đến thế, có lẽ vì mình đã quá mệt mỏi với những thứ khác, nên khoảnh khắc ấy, dù là ảo, cũng khiến mình thấy nhẹ nhõm, như được giải phóng khỏi cái vỏ cứng nhắc của ngày.",
