sample_id,text,label,model,generation_round
llama-3-8b-instruct-4-4e50464f92,"Tôi vừa xem một video clip người ta đánh người con của mình, và tôi không hiểu sao người ta có thể làm chuyện như vậy được. Có thể đó là cách để bày tỏ sự thất vọng, nhưng tôi thực sự không thể đồng cảm với điều đó. Tôi cảm thấy ghê, muốn quay đi ngay lập tức, không hiểu sao người ta có thể xem điều đó là bình thường.",4,Llama-3-8B-Instruct,1
qwen3-8b-2-a00593cc4e,"Chiều nay, mình bị một người đồng nghiệp hiểu lầm mình đang nói điều gì đó không đúng, nhưng mình lại không có cơ hội giải thích. Họ giữ thái độ lạnh nhạt, không ai chịu nghe mình nói thêm. Mình cảm thấy bực bội, như thể mình đang bị công kích mà không biết lý do. Dù trong lòng rất tức, mình vẫn cố giữ bình tĩnh, không muốn xung đột. Nhưng sau khi về nhà, mình vẫn còn ái ngại vì sự việc ấy, cảm giác như có một lớp vỏ bọc ngoài, không thể vỡ ra để thở. Mình cần một lúc để trấn tĩnh, để hiểu rằng đôi khi sự hiểu lầm không phải vì mình sai, mà có lẽ vì ai đó không cố gắng lắng nghe.",2,Qwen3-8B,1
qwen3-8b-5-05e04b2d3e,"Sáng nay tôi đang lờ mờ tỉnh dậy, nghĩ rằng mình đã ngủ quên cả ngày, thì bỗng thấy cái bụng mình rống lên như tiếng hạc kêu. Tôi cố nhớ lại xem mình đã ăn gì hôm qua, nhưng sao lại không nhớ nổi? Rồi tôi chợt nghĩ mình có thể đang bị đói kiệt, không phải vì ăn không đủ mà vì ăn quá nhiều. Dù sao thì cũng phải chịu, vì cái bụng kêu quá to, như thể nó đang đòi hỏi một bữa ăn đặc biệt, có lẽ là một cái bánh mì kẹp pho mai. Tôi cười bực bội vì mình, sao lại bị surprise đến thế, nhưng rồi cũng cười theo vì cái sự vô duyên này quả thật là hài hước.",5,Qwen3-8B,1
qwen3-8b-4-7255976b98,"Hôm nay, tôi đi làm về, trời đang mưa nhẹ, gió se lạnh thổi qua từng khe cửa. Tôi đi bộ về phía căn hộ của mình, lòng thầm chúc rằng sẽ có một buổi tối yên tĩnh để nghỉ ngơi. Nhưng khi bước qua một đoạn đường quen thuộc, mùi hôi tanh đặc quánh bỗng bao trùm lên cả không gian. Tôi ngưng lại, cố gắng hít thở sâu, nhưng ánh nhìn của mình không rời khỏi hình ảnh đang hiện ra trước mắt — một người đàn ông đang nhổ vòi nước xuống đất, những giọt nước pha lẫn chất thải rải rác khắp nơi. Tôi cảm thấy buồn nôn, một loại ghê rợn bỗng dưng xé tan tất cả cảm xúc tích cực trong tôi. Mùi hôi ấy như một lời nhắc nhở, rằng đôi khi sự vô tâm, sự coi thường đối với những gì xung quanh ta có thể khiến con người ta đánh mất cả sự nhạy cảm và trân trọng. Tôi không nói gì, chỉ lặng lẽ quay đi, lòng vẫn còn nặng trĩu bởi cảm giác chán ghét, chán ghét cả sự vô ý thức ấy.",4,Qwen3-8B,1
qwen3-8b-0-16370db65b,"Chiều nay cả nhà cùng đi dạo ven hồ, gió mát, bầu trời trong xanh, mình thấy lòng nhẹ nhõm hẳn. Những khoảnh khắc giản dị như thế này, mới thấy gia đình là điều quý giá nhất.",0,Qwen3-8B,1
qwen3-8b-6-ab0892ed59,"Buổi sáng nay trời mưa âm thầm, nghe như đang khóc một cách buồn bã. Mình dậy muộn hơn bình thường, vì ngủ quên trong giấc mộng đẹp, tưởng mình đang ở trong một bộ phim siêu anh hùng. Đã quay 3 vòng, đánh rơi 2 cái chìa khóa, và cuối cùng thì cũng kịp đến văn phòng. Mình không biết mình có phải là người may mắn hay chỉ là nạn nhân của sự trùng lặp trong thời gian. Có lẽ là cả hai. Mấy đồng nghiệp cười xòa khi mình bước vào, nhưng mình không buồn, vì mình biết, mình sẽ cười cùng họ khi một ngày khác đến.",6,Qwen3-8B,1
qwen3-8b-0-d00e42d5c1,"Hôm nay mình được tham gia buổi livestream của bạn thân, vừa xem vừa comment trêu chọc, cả nhóm cười đà, tiếng vang trong phòng khiến mình thấy hào hứng hơn cả khi đang xem phim. Mình không biết sao lại thấy vui đến thế, có lẽ vì ai cũng thoải mái, không áp lực gì cả.",0,Qwen3-8B,1
qwen3-8b-5-e464bf0721,"Sáng nay tôi vừa nhận tin sức khỏe của mình có dấu hiệu hồi phục, cảm giác thật như một cơn gió mát thổi qua sau chuỗi ngày mệt mỏi. Mình không ngờ rằng những ngày tưởng chừng vô nghĩa lại là thời gian quý giá để cơ thể và tinh thần dần tìm lại cân bằng. Cái sự bất ngờ ấy khiến lòng mình nhẹ bẫng, như vừa được một lời khẳng định rằng mọi thứ vẫn còn kịp.",5,Qwen3-8B,1
llama-3-8b-instruct-5-9ce99bcd4b,"Tôi đang ngồi trong phòng, mắt nhìn ra ngoài cửa sổ, nhìn thấy trời chiều màu vàng nhạt. Sáng nay, tôi và người khác đã đi dạo về cuối năm, xem những cơn mưa đầu mùa. Tôi thực sự đã không ngờ đến, vì thường năm nay là những năm khô hạn. Mưa lại về, có thể nói là sự thay đổi khí hậu.

Tôi đang ngồi nghĩ về điều này, cảm giác hỗn loạn trong đầu. Chưa bao giờ tôi thấy phải tin lại tin báo, rằng mưa đã về. Sáng nay, tôi và người khác đã đi dạo, tôi không ngờ đến, bây giờ tôi nhớ lại. Mưa lại về, có thể nói là sự thay đổi khí hậu. Tôi muốn nhớ lại những khoảnh khắc này, và sự thay đổi của khí hậu.",5,Llama-3-8B-Instruct,1
qwen3-8b-2-f440d90593,"Tối qua mình giận dữ đến mức không thể ngủ, vì mình nghĩ mình đã giải thích rõ ràng về khoản chi tiêu hôm nay, nhưng người khác vẫn cứ bảo mình lố chi, không suy nghĩ kỹ. Mình thấy buồn, vì mình cố gắng nỗ lực để không làm phiền ai, mà cuối cùng lại bị hiểu lầm. Mình chỉ muốn một lần được lắng nghe, thay vì bị chỉ trích.",2,Qwen3-8B,1
